u,v,length_m,speed_kmh,rank,has_traffic_light,light_delay_s,counter_zone
60969926,1952870486,46.49,60.0,primary,False,18,11346035713
60969926,9568889769,31.19,36.18279569892473,residential,False,28,11346035713
60969930,6879934731,15.46,36.18279569892473,residential,False,11,11346035713
60969930,1404317173,251.44,60.0,primary,False,21,11346035713
60969930,6879905270,107.83,60.0,primary,False,26,11346035713
60969930,6879829992,53.01,53.482142857142854,secondary,False,12,11346035713
61334561,84578735,13.31,50.0,primary,False,19,93731379
61334561,84578295,305.88,36.18279569892473,residential,True,24,93731379
61334742,84574175,172.43,40.0,tertiary,False,24,93731379
61334742,84571932,167.78,40.0,tertiary,True,11,93731379
61334742,84577709,56.87,40.0,tertiary,False,11,93731379
61334743,1231480275,9.66,50.0,tertiary,True,21,93731379
61334743,82673371,441.32,50.0,secondary,False,19,93731379
61334743,301435542,41.67,50.0,tertiary,True,12,93731379
61334834,2128254509,50.65,36.18279569892473,residential,False,30,93731379
61334834,84587917,48.48,36.18279569892473,residential,False,12,93731379
61334834,84587914,271.62,36.18279569892473,residential,False,29,93731379
61334834,301436670,134.3,36.18279569892473,residential,False,29,93731379
63904172,2128254509,266.51,36.18279569892473,residential,False,26,
63912055,63912640,56.71,36.18279569892473,residential,False,22,
63912640,63912641,50.16,36.18279569892473,residential,False,24,
63912640,301444251,149.65,36.18279569892473,residential,False,28,
78424736,1800317399,21.11,44.02390438247012,tertiary,True,27,93731379
78424736,254295590,545.59,60.0,secondary,True,35,93731379
78424736,83718078,214.36,44.02390438247012,tertiary,False,33,93731379
78451997,78452163,24.42,53.482142857142854,secondary,False,11,82903274
78451997,78452012,463.28,60.0,secondary,True,24,82903274
78451997,90311903,121.25,53.482142857142854,secondary,True,35,82903274
78452012,1276437793,272.02,45.0,unclassified,False,28,82903274
78452012,6967286689,278.27,60.0,secondary,False,30,82903274
78452068,90136593,92.95,60.0,primary,False,16,82703794
78452128,1383425989,189.02,54.67289719626168,primary,False,20,320981769
78452142,90149936,158.46,36.18279569892473,residential,False,29,82703794
78452142,1800317481,38.29,54.67289719626168,primary,False,25,82703794
78452147,6396793312,188.46,54.67289719626168,primary,False,26,82703794
78452147,82588000,94.64,60.0,secondary,False,14,82703794
78452152,12912737243,96.85,60.0,secondary,False,11,82668285
78452163,78451997,24.42,53.482142857142854,secondary,False,24,82903274
78452163,82896542,90.58,53.482142857142854,secondary,True,13,82903274
78452163,6975294295,600.74,60.0,secondary,False,35,82903274
78452168,8274513455,18.0,44.02390438247012,tertiary,False,20,11253757267
78452168,93731127,247.53,60.0,secondary,False,32,11253757267
78452168,1327337190,144.08,36.18279569892473,residential,False,12,11253757267
78452168,7813814027,169.27,53.482142857142854,secondary,False,26,11253757267
78452212,301946394,42.52,60.0,secondary,False,30,147963281
78452212,301946430,53.76,36.18279569892473,residential,False,15,147963281
78452212,12909415458,177.66,60.0,secondary,False,11,147963281
79467561,6398581389,27.75,44.02390438247012,tertiary,False,17,256619924
79467561,6398581392,26.33,50.0,primary,False,32,256619924
79467561,82665577,505.55,50.0,primary,False,24,256619924
81535495,81535497,30.68,54.67289719626168,primary,False,24,90214098
81535495,81536829,43.33,54.67289719626168,primary,False,26,90214098
81535497,82626265,72.67,54.67289719626168,primary,False,26,90214098
81536829,81535497,32.67,54.67289719626168,primary,False,29,90214098
81536829,6168697493,18.91,54.67289719626168,primary,False,15,90214098
81536866,4766213966,315.82,60.0,primary_link,False,21,320981769
81536866,4766213958,119.19,60.0,primary,False,21,320981769
81536866,4721171417,581.65,54.67289719626168,primary,False,19,320981769
81537737,12322799084,282.41,60.0,secondary,False,22,82903274
81537737,5308051335,177.65,40.0,secondary,False,23,82903274
82587046,2501673823,187.19,54.67289719626168,primary,True,34,90214098
82587046,78452068,86.77,60.0,primary,False,20,90214098
82587046,6396793312,23.52,60.0,primary_link,False,31,90214098
82587347,4856507038,66.18,36.18279569892473,residential,False,29,82903274
82587347,82588281,92.16,36.18279569892473,residential,False,11,82903274
82587475,82587347,68.36,36.18279569892473,residential,False,35,82703794
82587475,11991211010,38.53,36.18279569892473,residential,False,30,82703794
82588000,82588281,77.92,60.0,secondary,False,30,82703794
82588000,82587475,129.68,36.18279569892473,residential,False,20,82703794
82588276,82587347,59.0,36.18279569892473,residential,False,12,82903274
82588276,6396793311,148.21,53.482142857142854,secondary,False,20,82903274
82588281,82588499,45.65,60.0,secondary,False,13,82703794
82588499,254281224,29.27,60.0,secondary,False,27,82703794
82588846,1594343624,68.02,45.0,unclassified,False,31,82703794
82588846,78452068,81.82,36.18279569892473,residential,False,22,82703794
82588848,11672522122,92.08,54.67289719626168,primary,False,19,82703794
82589501,82589614,83.75,36.18279569892473,residential,False,18,82703794
82589501,1510308751,132.36,36.18279569892473,residential,False,33,82703794
82589504,5148545030,147.54,36.18279569892473,residential,False,31,82703794
82589504,257709127,94.04,36.18279569892473,residential,False,29,82703794
82589504,82706074,149.11,36.18279569892473,residential,False,14,82703794
82589614,90141965,179.81,36.18279569892473,residential,False,20,82703794
82589614,2501679855,142.9,54.67289719626168,primary,False,12,82703794
82589766,257709714,66.7,60.0,primary,False,28,82703794
82589766,5148545030,180.8,36.18279569892473,residential,False,31,82703794
82619348,1804727612,24.32,53.482142857142854,secondary,False,14,320981769
82619348,1474109701,140.57,36.18279569892473,residential,False,21,320981769
82619348,4766213966,848.48,53.482142857142854,secondary,False,19,320981769
82619356,1474113373,540.68,36.18279569892473,residential,False,30,320981769
82619356,82619372,330.98,53.482142857142854,secondary,False,32,320981769
82619356,1804727612,274.39,53.482142857142854,secondary,False,31,320981769
82619372,82619397,640.61,53.482142857142854,secondary,False,22,320981769
82619372,82619356,330.98,53.482142857142854,secondary,False,14,320981769
82619372,6222664867,105.16,36.18279569892473,residential,False,29,320981769
82619397,82619398,27.52,53.482142857142854,secondary,False,32,320981769
82619397,6352715816,30.05,36.18279569892473,residential,False,12,320981769
82619397,82619372,640.61,53.482142857142854,secondary,False,19,320981769
82619398,82619397,27.52,53.482142857142854,secondary,False,27,320981769
82619398,82619400,116.95,36.18279569892473,residential,False,22,320981769
82619398,1474142260,384.54,53.482142857142854,secondary,False,30,320981769
82619400,82619398,116.95,36.18279569892473,residential,False,35,320981769
82619400,1474142218,180.05,36.18279569892473,residential,False,20,320981769
82619400,82619401,98.9,36.18279569892473,residential,False,14,320981769
82619401,1474142209,322.33,36.18279569892473,residential,False,31,320981769
82619401,93777160,51.12,36.18279569892473,residential,False,32,320981769
82619401,82619400,98.9,36.18279569892473,residential,False,33,320981769
82619403,1474142260,155.2,36.18279569892473,residential,False,31,320981769
82619403,12887966550,133.7,36.18279569892473,residential,False,26,320981769
82619403,93777160,71.89,36.18279569892473,residential,False,12,320981769
82619405,82619409,172.75,36.18279569892473,residential,False,30,320981769
82619405,12887966550,47.27,36.18279569892473,residential,False,31,320981769
82619405,6913827436,111.67,36.18279569892473,residential,False,23,320981769
82619409,8273722942,80.26,36.18279569892473,residential,False,26,320981769
82619409,6914068269,257.84,36.18279569892473,residential,False,21,320981769
82619409,82619405,172.75,36.18279569892473,residential,False,10,320981769
82619416,1474142517,298.42,36.18279569892473,residential,False,21,320981769
82619416,1804727616,83.29,36.18279569892473,residential,False,19,320981769
82619416,6914068269,156.59,36.18279569892473,residential,False,15,320981769
82621142,82903274,88.38,53.482142857142854,secondary,False,16,82903274
82621142,82901413,175.84,53.482142857142854,secondary,True,20,82903274
82621142,2006674882,22.29,53.482142857142854,secondary,False,34,82903274
82621715,9191292963,6.28,54.67289719626168,primary,True,25,82903274
82621715,2106101561,158.71,60.0,primary,False,16,82903274
82621727,6579136829,19.33,54.67289719626168,primary,False,17,82903274
82621727,60969245,38.63,60.0,secondary,False,14,82903274
82621920,6363680251,7.24,36.18279569892473,residential,False,14,11253757267
82621920,83720668,36.97,36.18279569892473,residential,False,12,11253757267
82622564,6368067230,6.68,44.02390438247012,tertiary,False,19,82903274
82622564,6368067244,504.06,60.0,secondary,False,35,82903274
82622564,83739448,192.9,44.02390438247012,tertiary,True,13,82903274
82623569,4039251388,209.77,53.482142857142854,secondary,True,26,82903274
82623569,82901413,167.61,53.482142857142854,secondary,True,34,82903274
82623569,2016324771,122.91,36.18279569892473,residential,False,27,82903274
82623569,6368143956,186.31,50.0,secondary,False,33,82903274
82624009,12322799084,69.21,44.02390438247012,tertiary,False,26,82903274
82624009,82624011,213.88,36.18279569892473,residential,False,11,82903274
82624009,254281219,65.05,44.02390438247012,tertiary,False,31,82903274
82624011,82705069,50.16,36.18279569892473,residential,False,20,82903274
82624011,82624009,213.88,36.18279569892473,residential,True,34,82903274
82624011,4866078613,54.55,36.18279569892473,residential,False,29,82903274
82624677,13469095395,24.92,36.18279569892473,residential,False,14,82703794
82624677,6396879474,100.11,36.18279569892473,residential,False,29,82703794
82624677,13469019597,84.72,36.18279569892473,residential,False,22,82703794
82624680,82589504,105.28,36.18279569892473,residential,False,14,82703794
82624680,12959613418,145.64,36.18279569892473,residential,False,15,82703794
82624681,82624680,103.1,36.18279569892473,residential,False,15,90214098
82624681,90134546,478.24,60.0,primary,False,32,90214098
82624688,7098520359,228.84,36.18279569892473,residential,False,34,388276886
82624688,1933967150,612.36,36.18279569892473,residential,False,29,388276886
82624688,82669271,130.41,36.18279569892473,residential,True,35,388276886
82624688,90218314,100.42,36.18279569892473,residential,False,15,388276886
82625123,12905883192,5.3,36.18279569892473,residential,False,33,320050383
82625123,6235090406,16.25,36.18279569892473,residential,False,24,320050383
82625123,82701719,28.73,36.18279569892473,residential,False,11,320050383
82625128,2046209213,81.56,36.18279569892473,residential,False,23,320050383
82625128,82625131,111.87,36.18279569892473,residential,False,21,320050383
82625128,301380786,21.37,36.18279569892473,residential,False,31,320050383
82625131,7100035804,24.02,36.18279569892473,residential,False,33,320050383
82625131,82625128,111.87,36.18279569892473,residential,False,17,320050383
82625131,7831375034,55.68,36.18279569892473,residential,False,24,320050383
82625134,309197075,9.47,36.18279569892473,residential,False,29,320050383
82625134,82626094,65.05,36.18279569892473,residential,True,19,320050383
82625134,82625786,129.93,36.18279569892473,residential,False,34,320050383
82625135,6351537815,27.61,53.482142857142854,secondary,False,33,90214098
82625135,82625786,30.5,53.482142857142854,secondary,False,35,90214098
82625222,256396716,148.93,50.0,residential,False,24,90214098
82625222,90134545,53.7,36.18279569892473,residential,False,17,90214098
82625222,90154837,57.44,60.0,primary,False,27,90214098
82625445,257708307,155.33,36.18279569892473,residential,False,17,90214098
82625445,82625883,142.58,60.0,primary,True,19,90214098
82625786,82625883,39.63,53.482142857142854,secondary,True,35,90214098
82625786,90204961,190.8,36.18279569892473,residential,False,35,90214098
82625786,82625135,30.5,53.482142857142854,secondary,False,25,90214098
82625883,82625786,39.63,53.482142857142854,secondary,False,16,90214098
82625883,10270258445,194.88,60.0,primary,False,21,90214098
82626094,10270258445,39.08,36.18279569892473,residential,False,31,320050383
82626094,82625134,65.05,36.18279569892473,residential,False,28,320050383
82626094,7831375034,82.72,36.18279569892473,residential,False,24,320050383
82626265,10270258445,93.7,36.18279569892473,residential,False,24,320981769
82626265,13149331757,127.38,54.67289719626168,primary,False,34,320981769
82626453,1800317445,194.01,36.18279569892473,residential,False,19,320050383
82626453,82626575,81.41,36.18279569892473,residential,False,34,320050383
82626453,82626454,19.92,36.18279569892473,residential,False,22,320050383
82626454,82701724,187.18,36.18279569892473,residential,False,26,320050383
82626454,82626453,19.92,36.18279569892473,residential,False,26,320050383
82626454,301380786,128.1,36.18279569892473,residential,False,23,320050383
82626575,82626669,46.68,36.18279569892473,residential,False,15,320050383
82626575,309197257,240.27,36.18279569892473,residential,False,16,320050383
82626575,82626453,81.41,36.18279569892473,residential,False,35,320050383
82626669,320062590,20.31,36.18279569892473,residential,False,29,320050383
82626669,82626575,46.68,36.18279569892473,residential,False,14,320050383
82626669,309197075,230.66,36.18279569892473,residential,False,18,320050383
82627851,90215325,29.81,30.0,residential,False,11,388276886
82627851,6883599526,267.72,36.18279569892473,residential,False,30,388276886
82627851,388277161,366.63,30.0,residential,False,25,388276886
82627851,6370576106,60.58,36.18279569892473,residential,False,21,388276886
82627854,301373930,50.11,36.18279569892473,residential,False,27,388276886
82627854,301373929,82.37,36.18279569892473,residential,False,13,388276886
82627854,388276886,34.31,36.18279569892473,residential,False,32,388276886
82627854,388276847,74.63,36.18279569892473,residential,False,26,388276886
82627858,82627861,165.76,36.18279569892473,residential,False,13,90214098
82627861,320048711,54.68,20.0,living_street,False,19,90214098
82627861,90211207,199.58,36.18279569892473,residential,False,12,90214098
82627861,82627858,165.76,36.18279569892473,residential,False,34,90214098
82630823,388217312,2148.86,45.0,unclassified,False,15,386876240
82630823,3941683632,1054.79,53.482142857142854,secondary,False,18,386876240
82637467,386889927,934.68,55.0,primary,False,24,90214098
82637467,82638319,225.15,60.0,primary_link,False,26,90214098
82638319,84550083,330.87,60.0,primary,False,14,90214098
82638319,33222670,80.01,60.0,primary,False,23,90214098
82640434,78452128,27.65,44.02390438247012,tertiary,False,12,320981769
82640434,82641149,15.71,36.18279569892473,residential,False,17,320981769
82641065,739119201,283.79,36.18279569892473,residential,False,24,320981769
82641065,82641887,119.01,44.02390438247012,tertiary,False,21,320981769
82641065,1382532387,63.41,44.02390438247012,tertiary,False,10,320981769
82641149,254311384,93.99,44.02390438247012,tertiary,False,23,320981769
82641149,254971816,25.74,36.18279569892473,residential,False,11,320981769
82641152,658735858,15.3,44.02390438247012,tertiary,False,22,320981769
82641152,254311384,109.98,44.02390438247012,tertiary,False,26,320981769
82641152,6166982466,166.5,44.02390438247012,tertiary,False,21,320981769
82641159,320981774,76.27,36.18279569892473,residential,False,17,320981769
82641159,471412801,81.17,44.02390438247012,tertiary,False,22,320981769
82641159,12901260692,54.4,44.02390438247012,tertiary,False,12,320981769
82641887,82641065,119.01,44.02390438247012,tertiary,False,21,320981769
82641887,89041799,44.19,36.18279569892473,residential,False,17,320981769
82641887,10265634293,27.02,44.02390438247012,tertiary,False,10,320981769
82641894,89038869,119.89,36.18279569892473,residential,False,20,320981769
82641894,302344347,67.09,44.02390438247012,tertiary,False,13,320981769
82641894,471413031,45.81,44.02390438247012,tertiary,False,32,320981769
82641908,254349588,64.81,44.02390438247012,tertiary,False,30,320981769
82641908,82653324,216.37,36.18279569892473,residential,False,20,320981769
82641909,254349412,34.62,44.02390438247012,tertiary,False,35,320981769
82643178,89038869,15.22,44.02390438247012,tertiary,False,14,320981769
82643178,6166982920,83.03,44.02390438247012,tertiary,False,14,320981769
82643178,12735642207,57.6,36.18279569892473,residential,False,11,320981769
82643724,89037033,123.33,44.02390438247012,tertiary,False,19,256619924
82643724,82643898,137.68,36.18279569892473,residential,False,25,256619924
82643724,302340001,115.27,44.02390438247012,tertiary,False,32,256619924
82643724,254313294,174.4,36.18279569892473,residential,False,14,256619924
82643736,6399358827,152.06,44.02390438247012,tertiary,False,34,256619924
82643736,82643738,36.7,44.02390438247012,tertiary,False,32,256619924
82643736,255000072,68.77,40.0,residential,False,25,256619924
82643736,82645214,21.24,36.18279569892473,residential,False,24,256619924
82643738,82643739,23.62,44.02390438247012,tertiary,False,29,256619924
82643738,82645213,10.57,51.36889705201475,tertiary_link,False,10,256619924
82643738,82643736,36.7,44.02390438247012,tertiary,False,12,256619924
82643739,82643738,23.62,44.02390438247012,tertiary,False,10,256619924
82643739,5349190045,3.62,44.02390438247012,tertiary,False,18,256619924
82643746,89023253,9.54,44.02390438247012,tertiary,False,16,256619924
82643746,89011030,34.66,44.02390438247012,tertiary,False,14,256619924
82643746,6173482948,97.08,44.02390438247012,tertiary,False,27,256619924
82643810,6399358827,114.36,44.02390438247012,tertiary,False,33,256619924
82643810,89037033,86.49,44.02390438247012,tertiary,False,29,256619924
82643810,6399358828,44.86,36.18279569892473,residential,False,26,256619924
82643891,6399358828,11.22,36.18279569892473,residential,False,23,256619924
82643891,82643898,163.21,36.18279569892473,residential,False,13,256619924
82643891,12901219127,65.46,36.18279569892473,residential,False,34,256619924
82643898,82643954,38.57,36.18279569892473,residential,False,19,256619924
82643898,82643891,163.21,36.18279569892473,residential,False,17,256619924
