node_id,x,y,is_counter,has_traffic_light
82661659,18.41,43.86,False,False
82661932,18.41,43.86,False,False
82661933,18.41,43.86,False,False
82661960,18.41,43.86,False,False
82662075,18.41,43.86,False,True
82662798,18.41,43.86,False,False
82663207,18.4,43.86,False,False
82663819,18.41,43.87,False,False
82663822,18.41,43.87,False,False
82663842,18.4,43.88,False,False
82663845,18.4,43.88,False,False
82664077,18.4,43.88,False,False
82664959,18.4,43.87,False,False
82664974,18.4,43.87,False,False
82664985,18.41,43.87,False,False
82665577,18.41,43.86,False,False
82666135,18.4,43.87,False,False
82666141,18.41,43.87,False,False
82666146,18.41,43.87,False,False
82666147,18.41,43.87,False,False
82666562,18.41,43.87,False,False
82666578,18.4,43.86,False,False
82666626,18.4,43.86,False,False
82666852,18.4,43.86,False,False
82667259,18.4,43.86,False,False
82667264,18.4,43.87,False,False
82667269,18.4,43.87,False,False
82667702,18.4,43.86,False,False
82667890,18.4,43.86,False,False
82668282,18.41,43.86,False,False
82668283,18.41,43.86,False,False
82668285,18.41,43.86,True,False
82668356,18.41,43.87,False,False
82668531,18.41,43.87,False,False
82668635,18.41,43.87,False,False
82669271,18.42,43.86,False,True
82669274,18.42,43.86,False,False
82673355,18.34,43.85,False,False
82673357,18.34,43.85,False,False
82673371,18.36,43.83,False,False
82674009,18.37,43.85,False,False
82674298,18.37,43.85,False,True
82674417,18.37,43.85,False,True
82674858,18.37,43.85,False,False
82686004,18.4,43.84,True,False
82699412,18.41,43.86,False,False
82699643,18.42,43.85,False,False
82699688,18.42,43.86,False,False
82699711,18.42,43.85,False,False
82700960,18.43,43.86,False,False
82700962,18.43,43.86,False,False
82700965,18.43,43.85,False,False
82701719,18.44,43.86,False,False
82701724,18.44,43.86,False,False
82701733,18.43,43.85,False,False
82701846,18.43,43.85,False,False
82701956,18.43,43.85,False,False
82701958,18.43,43.85,False,False
82701965,18.43,43.86,False,False
82702451,18.43,43.86,False,False
82702454,18.43,43.86,False,False
82702455,18.43,43.86,False,False
82702460,18.44,43.86,False,False
82702463,18.44,43.86,False,False
82702475,18.44,43.86,False,False
82702975,18.43,43.86,False,False
